celebrity_name,followers
John O'Hurley,2000
Kelly Monaco,237000
Evander Holyfield,2000000
Rachel Hunter,176000
Joey McIntyre,"572,800"
Trista Sutter,444000
Tatum O'Neal,126000
Tia Carrere,"235,000"
George Hamilton,59000
Lisa Rinna,38000000
Stacy Keibler,607000
Jerry Rice,863000
Giselle Fernandez,8100
Master P,4000000
Drew Lachey,110000
Kenny Mayne,7800
Harry Hamlin,61000
Vivica A. Fox,1800000
Monique Coleman,764000
Joey Lawrence,483000
Mario Lopez,"3,300,000"
Emmitt Smith,691000
Shanna Moakler,433000
Willa Ford,39000
Sara Evans,368000
Jerry Springer,11000000
Tucker Carlson,6000000
John Ratzenberger,240
Ian Ziering,667000
Clyde Drexler,800
Laila Ali,1300000
Apolo Anton Ohno,200000
Shandi Finnessey,18000
Paulina Porizkova,14000000
Heather Mills,12500000
Billy Ray Cyrus,18000000
Joey Fatone,550000
Leeza Gibbons,53000
Cameron Mathison,400000
Jane Seymour,475000
Sabrina Bryan,220000
Jennie Garth,1000000
Floyd Mayweather Jr.,"29,000,000"
Josie Maran,"304,000"
Albert Reed,454
Helio Castroneves,149000
Mel B,1800000
Wayne Newton,14000
Marie Osmond,385000
Mark Cuban,22000000
Cristian de la Fuente,1000000
Steve Guttenberg,489000
Priscilla Presley,797000
Marlee Matlin,331200
Shannon Elizabeth,482000
Marissa Jaret Winokur,104000
Jason Taylor,71000
Kristi Yamaguchi,99000
Monica Seles,108000
Penn Jillette,179000
Adam Carolla,303000
Mario,2500000
Ted McGinley,36000
Cloris Leachman,410
Susan Lucci,257000
Cody Linley,128000
Misty May-Treanor,36000
Maurice Greene,13000
Warren Sapp,325000
Jeffrey Ross,543000
Toni Braxton,48000000
Lance Bass,1400000
Kim Kardashian,3540000000
Rocco DiSpirito,11000000
Brooke Burke,749000
Gilles Marini,149400
Denise Richards,17000000
David Alan Grier,306000
Lawrence Taylor,145000
Ty Murray,36000
Shawn Johnson,4000000
Steve Wozniak,10800
Belinda Carlisle,164000
Chuck Wicks,171000
Lil' Kim,3400000
Steve-O,74000000
Holly Madison,1400000
Melissa Rycroft,326000
Ashley Hamiliton,20000
Debi Mazar,635000
Melissa Joan Hart,1900000
Mark Dacascos,381000
Chuck Liddell,9180000
Natalie Coughlin,148000
Louie Vito,96000
Michael Irvin,790000
Joanna Krupa,1700000
Kathy Ireland,227000
Tom DeLay,566
Macy Gray,416000
Aaron Carter,558000
Mya,2400000
Donny Osmond,478700
Kelly Osbourne,4400000
Aiden Turner,30000
Shannen Doherty,2300000
Niecy Nash,3900000
Buzz Aldrin,1500000
Chad Ochocinco,2300000
Evan Lysacek,22300
Pamela Anderson,5100000
Nicole Scherzinger,7400000
Erin Andrews,2200000
Kate Gosselin,442000
Jake Pavelka,8900
David Hasselhoff,417000
Florence Henderson,830
Kyle Massey,514000
Jennifer Grey,500000
Rick Fox,164000
Kurt Warner,121000
Margaret Cho,394000
Michael Bolton,294000
Brandy,6100000
The Situation,3400000
Audrina Patridge,1700000
Bristol Palin,544000
Ralph Macchio,2500000
Chelsea Kane,522600
Kirstie Alley,270000
Hines Ward,221000
Sugar Ray Leonard,662500
Chris Jericho,4300000
