celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,followers,followers_log,week1_total,week2_total,week3_total,week4_total,week5_total,week6_total,week7_total,week8_total,week9_total,week10_total,week11_total,elimination_week,fan_vote_pct_uniform,fan_vote_scaled_uniform,fan_vote_pct_judge_proportional,fan_vote_scaled_judge_proportional,fan_vote_pct_instagram,fan_vote_scaled_instagram,IG_followers_normalized
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,2000.0,7.601402334583733,20.0,26.0,24.0,21.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,,0.20880796777360333,2088079.6777360332,0.19524859077619003,1952485.9077619002,0.18802665760022863,1880266.5760022863,0.13177352803293452
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,237000.0,12.37581963951765,13.0,17.0,21.0,26.0,23.5,27.5,0.0,0.0,0.0,0.0,0.0,,0.2000000266910205,2000000.266910205,0.2203389841286122,2203389.841286122,0.21446677540894862,2144667.7540894863,0.21446677389651483
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,236000.0,12.371591321286905,13.0,17.0,21.0,26.0,23.5,27.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2000000.0,14.508658238524095,18.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.16666666184007103,1666666.6184007104,0.10236219508495857,1023621.9508495857,0.19593654921448203,1959365.4921448203,0.20096761784480147
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,176000.0,12.07824495582233,20.0,24.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1739095363776565,1739095.3637765648,0.16035027933039006,1603502.7933039006,0.15312835197890973,1531283.5197890974,0.2093814904433502
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,572800.0,13.258293640437104,20.0,21.0,22.0,20.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.21728244246669634,2172824.4246669635,0.20372316163619533,2037231.6163619533,0.229838139919152,2298381.39919152,0.22983813404381392
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,444000.0,13.003582093664077,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1242411881749229,1242411.881749229,0.10094920729285216,1009492.0729285215,0.1362937553116076,1362937.553116076,0.15262851630243654
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,126000.0,11.744045122410057,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09729732617693981,972973.2617693981,0.06998457898674873,699845.7898674873,0.09250748325597694,925074.8325597694,0.09250754785559993
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,235000.0,12.367345048436391,20.0,22.0,26.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1428571380920054,1428571.380920054,0.12359549192805411,1235954.9192805411,0.13341975477911241,1334197.547791124,0.13589488850668716
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,59000.0,10.985309671896763,18.0,22.0,22.0,21.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1661651321635285,1661651.321635285,0.14060223292798282,1406022.3292798281,0.13969224403075617,1396922.4403075618,0.1396922697103882
