season,week,n_contestants,breakeven_rank,breakeven_percent,judge_gap,judge_gap_pct
1,2,6,0.16666666666666696,0.18732782369146062,3.0,0.024793388429752067
1,3,5,0.20000000000000018,0.2603773584905662,8.0,0.07547169811320754
1,4,4,0.2500000000000009,0.2581521739130439,1.0,0.010869565217391304
2,2,9,0.1111111111111116,0.11555555555555586,1.0,0.005
2,3,8,0.1250000000000009,0.14903846153846168,5.0,0.027472527472527472
2,4,7,0.14285714285714324,0.21338155515370705,13.0,0.08227848101265822
2,5,6,0.16666666666666696,0.1721854304635766,1.0,0.006622516556291391
2,6,5,0.20000000000000018,0.20000000000000018,0.0,0.0
2,7,4,0.2500000000000009,0.29411764705882426,6.0,0.058823529411764705
3,2,10,0.10000000000000053,0.10782608695652218,2.0,0.008695652173913044
3,3,9,0.1111111111111116,0.11969940955448255,2.0,0.00966183574879227
3,4,8,0.1250000000000009,0.1338383838383841,2.0,0.010101010101010102
3,5,7,0.14285714285714324,0.14285714285714324,0.0,0.0
3,7,5,0.20000000000000018,0.22370370370370374,4.0,0.02962962962962963
3,8,4,0.2500000000000009,0.2534403669724776,0.5,0.0045871559633027525
4,2,11,0.09090909090909172,0.09833024118738454,2.0,0.00816326530612245
4,3,10,0.10000000000000053,0.11651376146788994,4.0,0.01834862385321101
4,4,9,0.1111111111111116,0.11578947368421133,1.0,0.005263157894736842
4,5,8,0.1250000000000009,0.1448863636363642,4.0,0.022727272727272728
4,6,7,0.14285714285714324,0.15294117647058858,2.0,0.011764705882352941
4,7,6,0.16666666666666696,0.18554476806904052,3.5,0.022653721682847898
4,8,5,0.20000000000000018,0.22868525896414393,4.5,0.035856573705179286
4,9,4,0.2500000000000009,0.2531645569620258,0.5,0.004219409282700422
5,2,11,0.09090909090909172,0.10236822001527912,3.0,0.012605042016806723
5,3,10,0.10000000000000053,0.10753138075313817,2.0,0.008368200836820083
5,4,9,0.1111111111111116,0.11490978157644882,1.0,0.004273504273504274
5,5,8,0.1250000000000009,0.1250000000000009,0.0,0.0
5,6,7,0.14285714285714324,0.14761904761904798,1.0,0.005555555555555556
5,7,6,0.16666666666666696,0.16933760683760735,0.5,0.003205128205128205
5,8,5,0.20000000000000018,0.20304182509505697,0.5,0.0038022813688212928
5,9,4,0.2500000000000009,0.2564102564102564,1.0,0.008547008547008548
6,2,12,0.08333333333333393,0.0869001297016867,1.0,0.0038910505836575876
6,3,10,0.10000000000000053,0.10789473684210549,2.0,0.008771929824561403
6,4,9,0.1111111111111116,0.12296296296296383,3.0,0.013333333333333334
6,5,8,0.1250000000000009,0.12946428571428648,1.0,0.00510204081632653
6,6,7,0.14285714285714324,0.15714285714285747,3.0,0.016666666666666666
6,7,6,0.16666666666666696,0.18015102481121925,2.5,0.016181229773462782
6,8,5,0.20000000000000018,0.2059925093632966,1.0,0.00749063670411985
6,9,4,0.2500000000000009,0.2602272727272732,1.5,0.013636363636363636
7,2,11,0.09090909090909172,0.09502262443438969,1.0,0.004524886877828055
7,4,9,0.1111111111111116,0.11986863711001661,2.0,0.009852216748768473
7,5,8,0.1250000000000009,0.1250000000000009,0.0,0.0
7,6,7,0.14285714285714324,0.1750000000000007,6.0,0.0375
7,7,6,0.16666666666666696,0.17233560090703026,1.0,0.006802721088435374
7,8,5,0.20000000000000018,0.20000000000000018,0.0,0.0
7,9,4,0.2500000000000009,0.26119402985074647,1.5,0.014925373134328358
8,2,13,0.07692307692307754,0.08737300435413697,3.0,0.011320754716981131
8,3,12,0.08333333333333393,0.10137795275590555,5.0,0.01968503937007874
8,4,11,0.09090909090909172,0.10217881292261488,3.0,0.012396694214876033
8,5,9,0.1111111111111116,0.11957671957672034,2.0,0.009523809523809525
8,6,8,0.1250000000000009,0.13440860215053796,2.0,0.010752688172043012
8,7,7,0.14285714285714324,0.15698587127158614,3.0,0.016483516483516484
8,8,6,0.16666666666666696,0.180021367521368,2.5,0.016025641025641024
8,9,5,0.20000000000000018,0.21797752808988857,3.0,0.02247191011235955
8,10,4,0.2500000000000009,0.27397260273972623,3.5,0.0319634703196347
9,2,14,0.07142857142857206,0.07142857142857206,0.0,0.0
9,3,13,0.07692307692307754,0.08050089445438324,1.0,0.003875968992248062
9,4,11,0.09090909090909172,0.09090909090909172,0.0,0.0
9,5,10,0.10000000000000053,0.10371900826446367,1.0,0.004132231404958678
9,6,9,0.1111111111111116,0.11794908349896449,2.0000999999999998,0.007692718936334779
9,7,7,0.14285714285714324,0.15262515262515297,2.0,0.011396011396011397
9,8,5,0.20000000000000018,0.20000000000000018,0.0,0.0
9,9,4,0.2500000000000009,0.25937409472345063,1.333199999999998,0.012498792964600795
10,2,11,0.09090909090909172,0.10330578512396738,3.0,0.013636363636363636
10,3,10,0.10000000000000053,0.10886699507389164,2.0,0.009852216748768473
10,4,9,0.1111111111111116,0.11350703803534046,0.5,0.0026954177897574125
10,5,8,0.1250000000000009,0.14017341040462483,3.0,0.017341040462427744
10,6,7,0.14285714285714324,0.14695790847146384,0.9999000000000038,0.004784226550041095
10,7,6,0.16666666666666696,0.17202572347266898,1.0,0.006430868167202572
10,8,5,0.20000000000000018,0.2063241106719369,1.0,0.007905138339920948
10,9,4,0.2500000000000009,0.2632743362831862,2.0,0.017699115044247787
11,2,11,0.09090909090909172,0.11559029206088045,6.0,0.027149321266968326
11,3,10,0.10000000000000053,0.10407239819004577,1.0,0.004524886877828055
11,4,9,0.1111111111111116,0.12104283054003773,2.0,0.0111731843575419
11,5,8,0.1250000000000009,0.13461538461538503,2.0,0.01098901098901099
11,6,7,0.14285714285714324,0.16770153329020943,5.9999,0.02898512217191073
11,7,6,0.16666666666666696,0.17066346922462028,1.0,0.004796163069544364
11,8,5,0.20000000000000018,0.20301886792452883,0.5,0.0037735849056603774
11,9,4,0.2500000000000009,0.2631578947368425,2.0,0.017543859649122806
12,2,11,0.09090909090909172,0.09090909090909172,0.0,0.0
12,3,10,0.10000000000000053,0.12102803738317824,5.0,0.02336448598130841
12,4,9,0.1111111111111116,0.12405609492988212,3.0,0.014563106796116505
12,5,8,0.1250000000000009,0.1250000000000009,0.0,0.0
12,6,7,0.14285714285714324,0.15238095238095273,2.0,0.011111111111111112
12,7,6,0.16666666666666696,0.16666666666666696,0.0,0.0
12,8,5,0.20000000000000018,0.21846153846153893,3.0,0.023076923076923078
12,9,4,0.2500000000000009,0.26914893617021285,3.0,0.02553191489361702
13,2,11,0.09090909090909172,0.09498573175703307,1.0,0.004484304932735426
13,3,10,0.10000000000000053,0.11139240506329173,3.0,0.012658227848101266
13,4,9,0.1111111111111116,0.11536416799574756,1.0,0.004784688995215311
13,5,8,0.1250000000000009,0.13430851063829863,2.0,0.010638297872340425
13,6,7,0.14285714285714324,0.14802065404475062,1.0,0.006024096385542169
13,7,6,0.16666666666666696,0.17519908987485788,1.5,0.010238907849829351
13,8,5,0.20000000000000018,0.22162162162162247,3.5,0.02702702702702703
13,9,4,0.2500000000000009,0.27215325803062473,3.5001999999999995,0.029537677374166137
14,2,12,0.08333333333333393,0.09014869888475907,2.0,0.007434944237918215
14,3,11,0.09090909090909172,0.09090909090909172,0.0,0.0
14,4,10,0.10000000000000053,0.10386266094420638,1.0,0.004291845493562232
14,5,9,0.1111111111111116,0.11904761904761951,2.0,0.008928571428571428
14,6,8,0.1250000000000009,0.1385652499832366,3.9998000000000005,0.015503142837984448
14,7,7,0.14285714285714324,0.15219929933826393,2.0,0.010899182561307902
14,8,6,0.16666666666666696,0.17176350662589268,1.0,0.0061162079510703364
14,9,4,0.2500000000000009,0.2532608695652181,0.5,0.004347826086956522
15,2,12,0.08333333333333393,0.09329710144927539,3.0,0.010869565217391304
15,3,11,0.09090909090909172,0.09581425768476137,1.5,0.00539568345323741
15,4,9,0.1111111111111116,0.11664074650077794,2.0,0.006220839813374806
15,6,8,0.1250000000000009,0.12693584070796504,0.5,0.0022123893805309734
15,8,7,0.14285714285714324,0.15289326049301888,2.3333000000000013,0.011708803908521494
15,9,5,0.20000000000000018,0.2006297885740187,0.1109999999999971,0.0007872357175227828
16,3,11,0.09090909090909172,0.09477756944731386,1.0,0.004255326392044923
16,4,10,0.10000000000000053,0.10000000000000053,0.0,0.0
16,5,9,0.1111111111111116,0.1111111111111116,0.0,0.0
16,6,8,0.1250000000000009,0.1319628647214861,1.5,0.007957559681697613
16,7,7,0.14285714285714324,0.17546583850931707,7.0,0.03804347826086957
16,8,6,0.16666666666666696,0.1827438370846739,3.0,0.01929260450160772
16,9,5,0.20000000000000018,0.21134751773049665,2.0,0.014184397163120567
16,10,4,0.2500000000000009,0.25641090291530233,1.0001000000000033,0.008547870553735544
17,2,12,0.08333333333333393,0.08677944862155407,1.0,0.0037593984962406013
17,3,11,0.09090909090909172,0.09090909090909172,0.0,0.0
17,4,10,0.10000000000000053,0.11139240506329173,3.0,0.012658227848101266
17,5,9,0.1111111111111116,0.11867612293144258,2.0,0.00851063829787234
17,7,8,0.1250000000000009,0.13092550790067747,1.5,0.006772009029345372
17,8,7,0.14285714285714324,0.14732142857142883,1.0,0.005208333333333333
17,9,6,0.16666666666666696,0.1904761904761907,4.5,0.02857142857142857
17,10,5,0.20000000000000018,0.21142857142857174,2.5,0.014285714285714285
17,11,4,0.2500000000000009,0.26637563166269906,2.5,0.021834175550264893
18,2,11,0.09090909090909172,0.11326378539493298,6.0,0.02459016393442623
18,5,9,0.1111111111111116,0.12767425810904154,6.0,0.018633540372670808
18,6,8,0.1250000000000009,0.1250000000000009,0.0,0.0
18,7,7,0.14285714285714324,0.14963297571993284,2.0,0.007905138339920948
18,8,6,0.16666666666666696,0.16666666666666696,0.0,0.0
18,9,5,0.20000000000000018,0.20837696335078615,2.0,0.010471204188481676
18,10,4,0.2500000000000009,0.26962344679871375,3.0001999999999995,0.026164595731617973
19,2,12,0.08333333333333393,0.09346224677716464,4.0,0.011049723756906077
19,3,11,0.09090909090909172,0.09605974761782132,2.0,0.0056657223796034
19,4,10,0.10000000000000053,0.10281250000000064,1.0,0.003125
19,6,9,0.1111111111111116,0.1111111111111116,0.0,0.0
19,7,8,0.1250000000000009,0.13007736943907222,1.5,0.005802707930367505
19,8,7,0.14285714285714324,0.15668202764976957,4.0,0.016129032258064516
19,9,6,0.16666666666666696,0.19197819314641773,6.5,0.030373831775700934
19,10,5,0.20000000000000018,0.2263013698630143,6.0,0.03287671232876712
19,11,4,0.2500000000000009,0.25479649210339517,0.9998000000000076,0.006395322804526283
20,2,12,0.08333333333333393,0.09654178674351588,5.0,0.01440922190201729
20,3,11,0.09090909090909172,0.09090909090909172,0.0,0.0
20,4,10,0.10000000000000053,0.10276923076923161,1.0,0.003076923076923077
20,5,9,0.1111111111111116,0.12053396152336138,3.0,0.01060070671378092
20,6,8,0.1250000000000009,0.12654593639576017,0.5,0.0017667844522968198
20,7,7,0.14285714285714324,0.14285714285714324,0.0,0.0
20,8,6,0.16666666666666696,0.16863672182821166,0.5,0.002364066193853428
20,9,4,0.2500000000000009,0.2547770700636951,1.0,0.006369426751592357
21,2,13,0.07692307692307754,0.08204180292904883,1.5,0.005545286506469501
21,4,10,0.10000000000000053,0.10762711864406782,2.0,0.00847457627118644
