celebrity_name,ballroom_partner,season,placement,celebrity_age_during_season,star_power_index,industry_cluster,cluster,archetype,pca1,pca2
John O'Hurley,Charlotte Jorgensen,1,2,50,6.245223996359504,Entertainment,1,Underdogs,0.4195276297998237,0.28886405818794914
Kelly Monaco,Alec Mazo,1,1,29,3.457716057493392,Entertainment,0,Fast Learners,-1.2013879239610052,2.7951445167214675
Evander Holyfield,Edyta Sliwinska,1,5,42,21.877186359174207,Sports,3,Veteran Stars,1.0985196767450214,-2.140808739120195
Rachel Hunter,Jonathan Roberts,1,4,35,11.15005777387039,Media,1,Underdogs,-0.07194339987356288,0.3257355728091149
Joey McIntyre,Ashly DelGrosso,1,3,32,7.834506286437151,Entertainment,1,Underdogs,0.5504529672065132,-0.6142288229289653
Trista Sutter,Louis van Amstel,1,6,32,1.526551913354545,Entertainment,1,Underdogs,0.6537707421888771,0.2385516226471652
Tatum O'Neal,Nick Kosovich,2,9,42,18.909839198445766,Entertainment,3,Veteran Stars,1.1323580809138252,-4.919006726747515
Tia Carrere,Maksim Chmerkoskiy,2,6,39,12.80748226910681,Entertainment,0,Fast Learners,0.3963275051187775,-0.3976234008109499
George Hamilton,Edyta Sliwinska,2,5,66,0.0653582357231152,Entertainment,3,Veteran Stars,1.4831536791908506,0.7746671164658913
Lisa Rinna,Louis van Amstel,2,4,42,12.441949684045486,Entertainment,0,Fast Learners,0.17900848790446255,0.3082171467566624
Stacy Keibler,Tony Dovolani,2,3,26,9.080033397225863,Sports,2,Fast Learners,-1.2449296072215523,-0.6138566103323019
Jerry Rice,Anna Trebunskaya,2,2,43,16.321137899372776,Sports,2,Fast Learners,0.11265356781959604,-0.6823206122021517
Giselle Fernandez,Jonathan Roberts,2,8,44,0.0609090883072503,Media,1,Underdogs,0.5065916482055706,-1.2236874087785945
Master P,Ashly DelGrosso,2,7,35,9.339020609959896,Entertainment,3,Veteran Stars,0.9744483049161048,-0.02202218400149016
Drew Lachey,Cheryl Burke,2,1,29,2.985169768797843,Entertainment,1,Underdogs,-0.5009733232333133,-0.9413920736869075
Harry Hamlin,Ashly DelGrosso,3,9,54,13.74789153342858,Entertainment,0,Fast Learners,1.1894419449284852,1.289383510699893
Vivica A. Fox,Nick Kosovich,3,8,42,14.050901889014328,Entertainment,1,Underdogs,0.6916343330132906,-0.6454456810088268
Monique Coleman,Louis van Amstel,3,4,25,1.80520904097977,Entertainment,1,Underdogs,-0.7264915208847692,0.08011676222545001
Joey Lawrence,Edyta Sliwinska,3,3,30,14.4672484208779,Entertainment,1,Underdogs,-0.22328799809205974,-0.5951364491206874
Mario Lopez,Karina Smirnoff,3,2,32,34.266422752783775,Entertainment,0,Fast Learners,0.08655959861700523,-2.146576880066651
Emmitt Smith,Cheryl Burke,3,1,37,10.6084326174022,Sports,2,Fast Learners,-1.1954860693326261,-0.6536810245407625
Shanna Moakler,Jesse DeSoto,3,10,31,8.873265125214878,Media,1,Underdogs,-0.4309983577785525,1.9952640385060871
Willa Ford,Maksim Chmerkoskiy,3,7,25,2.053190468000873,Entertainment,1,Underdogs,-1.139056949253991,0.09250437146191869
Sara Evans,Tony Dovolani,3,6,35,6.066789768417974,Entertainment,1,Underdogs,-0.14408344178191176,1.5389167777262134
Jerry Springer,Kym Johnson,3,5,62,26.341554542514466,Entertainment,3,Veteran Stars,2.456317948629086,0.2169197495736411
John Ratzenberger,Edyta Sliwinska,4,6,59,13.067171978801245,Entertainment,3,Veteran Stars,1.858230213372427,0.15184316678123966
Ian Ziering,Cheryl Burke,4,4,42,3.2258920605614825,Entertainment,1,Underdogs,0.08660900349362598,-0.11198528681614157
